confidence,max_instances,mAP,F1,combined_score
0.2,3,0.4217553648191733,0.7293320157878127,0.575543690303493
0.2,5,0.37775880047299093,0.6842870928323511,0.531022946652671
0.2,7,0.3665722368707082,0.6659210699514162,0.5162466534110622
0.2,10,0.3473813815691765,0.6514953311551409,0.4994383563621587
0.3,3,0.4236330263451512,0.7354716691310839,0.5795523477381175
0.3,5,0.3829693914267505,0.6943956655795716,0.538682528503161
0.3,7,0.37230970222318593,0.6786458034248252,0.5254777528240056
0.3,10,0.3571349725369235,0.6672602795175911,0.5121976260272574
0.4,3,0.43984305298726445,0.7467160481692368,0.5932795505782507
0.4,5,0.4009134427737051,0.7131903815264541,0.5570519121500797
0.4,7,0.39200261524259605,0.7023592813855786,0.5471809483140873
0.4,10,0.3781892460022012,0.6945499513772747,0.536369598689738
0.5,3,0.443066353709964,0.7535841519228926,0.5983252528164283
0.5,5,0.40686593827242407,0.7269351377310774,0.5669005380017508
0.5,7,0.39961227909821395,0.7201081683688391,0.5598602237335265
0.5,10,0.3862768195637013,0.7137101357821211,0.5499934776729112
0.6,3,0.4797175218855564,0.7528397390058892,0.6162786304457228
0.6,5,0.45522424543523626,0.7351924447797584,0.5952083451074973
0.6,7,0.4493373615231242,0.7311216747035492,0.5902295181133367
0.6,10,0.44103106514479296,0.7278436260647408,0.5844373456047669
0.7,3,0.5543856065019152,0.7439462986256428,0.649165952563779
0.7,5,0.5252269335923282,0.734529854965213,0.6298783942787706
0.7,7,0.5201663028071143,0.7328703371721499,0.626518319989632
0.7,10,0.5188050083381576,0.731578651909098,0.6251918301236278
0.8,3,0.6519037884688023,0.7051608707727192,0.6785323296207607
0.8,5,0.6308556978576852,0.7008680473680136,0.6658618726128493
0.8,7,0.6257872007908091,0.7005413441347698,0.6631642724627894
0.8,10,0.6253616028518847,0.7000775862909739,0.6627195945714293
