confidence,max_instances,mAP,F1,combined_score
0.2,3,0.3135095375956765,0.6902353136915932,0.5018724256436349
0.2,5,0.29250753184164935,0.6584111387393622,0.47545933529050577
0.2,7,0.28458133280325804,0.6492511086749833,0.46691622073912065
0.2,10,0.2847260214010657,0.6417457385612487,0.46323587998115723
0.3,3,0.33117130614288265,0.6958274934175265,0.5134993997802045
0.3,5,0.3175918352483335,0.6720405134223876,0.4948161743353605
0.3,7,0.3103366895611686,0.6652390580076827,0.4877878737844257
0.3,10,0.3105025780819679,0.6589461780063908,0.48472437804417934
0.4,3,0.38550164927253716,0.6971955488053266,0.541348599038932
0.4,5,0.38435679580078036,0.6836083226926932,0.5339825592467368
0.4,7,0.379094849491095,0.6792586248255296,0.5291767371583123
0.4,10,0.3811788318787614,0.6750477300183123,0.5281132809485368
0.5,3,0.44434196501033296,0.6871411928018973,0.5657415789061151
0.5,5,0.43060435147752124,0.6801829684650725,0.5553936599712969
0.5,7,0.42592191192873885,0.6761991327706519,0.5510605223496954
0.5,10,0.4296800242023652,0.6725601558322793,0.5511200900173223
0.6,3,0.5209363910416329,0.6583146880850015,0.5896255395633172
0.6,5,0.49230521593929877,0.6544375101131158,0.5733713630262073
0.6,7,0.5030376584176292,0.6513056233929735,0.5771716409053014
0.6,10,0.5018059275444889,0.6489261758967682,0.5753660517206285
0.7,3,0.5577103730202249,0.6170267170136485,0.5873685450169367
0.7,5,0.5403589289289932,0.6176794600255654,0.5790191944772793
0.7,7,0.5392519536029754,0.6164679709336803,0.5778599622683278
0.7,10,0.5389237934716552,0.616185493898499,0.5775546436850771
0.8,3,0.6557140758777563,0.5297403696022152,0.5927272227399858
0.8,5,0.655147312460546,0.5298546059868755,0.5925009592237107
0.8,7,0.6551044516861685,0.5298389074227355,0.592471679554452
0.8,10,0.6551044516861685,0.5298389074227355,0.592471679554452
